abstract	affiliation
0001	Yale
0002	PRIO
0002	Gothenburg
0002	Oslo
0003	Georgetown
0003	Princeton
0003	Minnesota
0004	Duke
0004	Oxford
0005	Amsterdam
0005	Koblenz-Landau
0005	Lausanne
0006	Florida
0007	Hertie
0007	UCLA
0008	NIIA Oslo
0008	SAIS
0008	Oslo
0009	Tulane
0009	Kentucky
0010	Warwick
0011	EUI
0012	Chicago
0012	Chicago
0013	ETH
0013	LSE
0014	Amsterdam
0015	EUI
0015	Mannheim
0016	Cyprus
0016	Pittsburgh
0016	Pittsburgh
0017	Geneva
0018	UPF
0019	Rice
0019	Texas A&M
0020	Humboldt
0020	Penn State
0020	Copenhagen
0020	Leiden
0020	Oslo
0020	Reading
0021	Carlo Alberto
0021	Columbia
0022	Fukuoka
0022	Harvard
0022	Hiroshima
0023	Mannheim
0024	TCD
0024	Tulane
0024	Dublin
0024	Exeter
0025	Texas A&M
0025	Essex
0026	Mannheim
0027	Ben-Gurion
0027	Leuven
0027	Montreal
0028	Bocconi
0028	ETH
0029	Cologne
0030	Glasgow
0030	Middelsex
0030	Pittsburgh
0031	Bocconi
0031	Florida State
0031	Yale
0032	Dublin
0032	Zurich
0033	Hertie
0033	Milano
0033	London
0034	Maryland
0034	Charlotte
0034	Uppsala
0035	Geneva
0036	Mexico
0037	Amsterdam
0038	Yale
0039	Bocconi
0039	Zurich
0039	Vrije Amsterdam
0040	Hertie
0040	Princeton
0040	UIUC
0040	Mannheim
0040	USC
0041	Amsterdam
0041	Uppsala
0042	Basel
0042	Geneva
0043	NBS Oslo
0043	UCSD
0043	Turku
0043	VATT Helsinki
0044	Amsterdam
0045	Lisbon
0046	Gothenburg
0047	JHU
0048	Kyung Hee
0048	Rochester
0049	Zürich
0050	Charles
0050	WZB
0051	WUSL Louis
0052	Amsterdam
0053	Chapman
0053	SFU
0053	Memphis
0054	EUI
0054	QMUL
0054	Oxford
0055	Cologne
0056	Oxford
0057	Umeå
0058	NYU Abu Dhabi
0058	Koç
0059	LSE
0060	Strathclyde
0061	Bocconi
0061	IIASA
0061	UEA
0061	VID Vienna
0062	Zurich
0063	Princeton
0064	CEU
0064	Paris 2
0065	LMU Munich
0066	Konstanz
0067	NYU
0067	Sydney
0068	Zurich
0069	UCSD
0069	UCSD
0070	Oxford
0071	Strathclyde
0072	Strathclyde
0073	Mannheim
0074	Texas
0075	LSE
0075	UCSD
0076	Mannheim
0077	Penn
0078	Oxford
0078	Princeton
0079	Yale
0079	Yale
0080	Princeton
0081	IBEI Barcelona
0081	UC Merced
0081	Yale
0082	Columbia
0082	Yale
0083	Texas A&M
0084	Carlo Alberto
0084	NYU
0084	Yale
0085	Amsterdam
0085	Vienna
0086	Humboldt
0087	IHEID
0088	Duke
0088	IAST Toulouse
0088	Sciences Po
0089	LSE
0090	Essex
0090	Maryland
0091	HHL Leipzig
0092	Essex
0093	G-U Frankfurt
0093	Humboldt
0093	Zurich
0094	Kobe
0094	TUS Tokyo
0095	Bocconi
0096	IAS Vienna
0097	LSE
0098	Vanderbilt
0099	GWU
0099	Zurich
0100	Sciences Po
0100	Cambridge
0100	Essex
0100	Mannheim
0101	LSE
0101	UPF
0102	Barcelona
0103	IAST Toulouse
0103	Essex
0104	Geneva
0104	Lucerne
0105	WU Wien
0106	Lisbon
0107	UCL
0108	Bocconi
0108	LSE
0109	London
0110	Zurich
0111	CRSP Ponte dell'Olio
0111	Tufts
0111	Bologna
0111	Milano-Bicocca
0112	Predictive Heuristics
0112	Essex
0113	PluriCourts
0114	Mannheim
0115	Bocconi
0116	Duke
0116	IAST Toulouse
0117	NBS Oslo
0117	NIPH Oslo
0118	NYU
0119	Mannheim
0120	GDI Bonn
0120	Oxford
0121	Birkbeck
0121	Oxford
0122	Hertie
0122	Hertie
0122	Oxford
0123	EUI
0123	LSE
0124	Leeds
0124	USC
0125	EUI
0126	Georgetown
0127	Manchester
0128	NYU
0128	UPF
0129	Harvard
0129	Koç
0129	Boulder
0130	Paris 1
0131	West Virginia
0132	Zurich
0133	Oxford
0134	NYU Abu Dhabi
0134	Yale
0135	PluriCourts
0136	American
0136	Texas A&M
